title,Score,Genre,Date,duree,Descriptions,Acteurs,Public
Planet Earth II,9.5,Documentary,2016,298,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,"David Attenborough,Chadden Hunter,Gordon Buchanan",TV-G
Breaking Bad,9.5,"Crime,Drama,Thriller",2008–2013,49,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,"Vince Gilligan,Bryan Cranston,Aaron Paul,Anna Gunn",TV-MA
Planet Earth,9.4,Documentary,2006,538,"Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.","Sigourney Weaver,David Attenborough,Nikolay Drozdov",TV-PG
Band of Brothers,9.4,"Drama,History,War",2001,594,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.","Scott Grimes,Damian Lewis,Ron Livingston",TV-MA
Chernobyl,9.4,"Drama,History,Thriller",2019,330,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.","Craig Mazin,Jessie Buckley,Jared Harris,Stellan Skarsgård",TV-MA
The Wire,9.3,"Crime,Drama,Thriller",2002–2008,59,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","David Simon,Dominic West,Lance Reddick,Sonja Sohn",TV-MA
Blue Planet II,9.3,Documentary,2017–2022,364,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.","David Attenborough,Peter Drost,Russell Boulter",TV-G
Avatar: The Last Airbender,9.3,"Animation,Action,Adventure",2005–2008,23,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Michael Dante DiMartino,Bryan Konietzko,Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman",TV-Y7-FV
Cosmos: A Spacetime Odyssey,9.3,Documentary,2014,557,An exploration of our discovery of the laws of nature and coordinates in space and time.,"Neil deGrasse Tyson,Christopher Emerson,Keythe Farley",TV-PG
The Sopranos,9.2,"Crime,Drama",1999–2007,55,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","David Chase,James Gandolfini,Lorraine Bracco,Edie Falco",TV-MA
Cosmos,9.3,Documentary,1980,13,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,"Ann Druyan,Carl Sagan,Steven Soter,Carl Sagan,Jaromír Hanzlík,Jonathan Fahn",TV-PG
Our Planet,9.3,Documentary,2019,403,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.",David Attenborough,TV-G
Game of Thrones,9.2,"Action,Adventure,Drama",2011–2019,57,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","David Benioff,D.B. Weiss,Emilia Clarke,Peter Dinklage,Kit Harington",TV-MA
Rick and Morty,9.1,"Animation,Adventure,Comedy",2013– ,23,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Dan Harmon,Justin Roiland,Justin Roiland,Chris Parnell,Spencer Grammer",TV-14
The World at War,9.2,"Documentary,History,War",1973–1974,52,,"Laurence Olivier,Averell Harriman,Albert Speer",TV-PG
Fullmetal Alchemist: Brotherhood,9.1,"Animation,Action,Adventure",2009–2010,24,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"Hiromu Arakawa,Kent Williams,Iemasa Kayumi,Matthew Leonhart",TV-14
